query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,placement,label,backbone,seed,gallery_size
loc_000,loc_000,1,0.8243863582611084,loc_004,0.8104709386825562,0.013915419578552246,loc_000,1,1,35.591194575999616,0.29465070366859436,17.945791244506836,learned,learned support (DCRF),patchnetvlad,1234,48
loc_001,loc_001,1,0.708006739616394,loc_006,0.6814987659454346,0.026507973670959473,loc_001,1,1,32.81139485210112,0.5544595122337341,34.03630447387695,learned,learned support (DCRF),patchnetvlad,1234,48
loc_002,loc_002,1,0.7813146710395813,0c979954-46a8-404f-b3f6-3f10515f1b2e,0.7439408898353577,0.03737378120422363,loc_002,1,1,34.81641906796695,0.3550194203853607,21.451173782348633,learned,learned support (DCRF),patchnetvlad,1234,48
loc_003,loc_003,2,0.784309446811676,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,0.7988356351852417,-0.014526188373565674,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,1,1,35.397718851338,0.3075835108757019,18.76348304748535,learned,learned support (DCRF),patchnetvlad,1234,48
loc_004,loc_004,3,0.7841893434524536,loc_000,0.8017129302024841,-0.017523586750030518,loc_000,1,1,35.58705700478774,0.2951231598854065,17.963024139404297,learned,learned support (DCRF),patchnetvlad,1234,48
loc_005,loc_005,1,0.6682075262069702,036c6334-ffa8-48c4-98f6-1987b9fd8304,0.13693170249462128,0.5312758237123489,loc_005,1,1,34.75045596671011,0.34419116377830505,21.778913497924805,learned,learned support (DCRF),patchnetvlad,1234,48
loc_006,loc_006,2,0.675031840801239,loc_001,0.6992698907852173,-0.02423804998397827,loc_001,1,1,32.93528126496805,0.5382061004638672,33.07917404174805,learned,learned support (DCRF),patchnetvlad,1234,48
loc_007,loc_007,1,0.5745713114738464,011d9963-f1ed-4fa4-abe0-c2fd62bebef7,0.4640391767024994,0.11053213477134705,loc_007,1,1,33.73402574126127,0.43208685517311096,27.52894401550293,learned,learned support (DCRF),patchnetvlad,1234,48
loc_008,loc_008,1,0.6846803426742554,loc_010,0.6180170774459839,0.06666326522827148,loc_008,1,1,35.78450482965829,0.27769917249679565,17.164487838745117,learned,learned support (DCRF),patchnetvlad,1234,48
loc_009,loc_009,1,0.6297855377197266,07c280db-259e-49a4-bfd8-a632e698ef20,0.267242431640625,0.36254310607910156,loc_009,1,1,33.53709137725817,0.4529113173484802,28.79918098449707,learned,learned support (DCRF),patchnetvlad,1234,48
loc_010,loc_010,5,0.6899889707565308,loc_000,0.7430734038352966,-0.05308443307876587,loc_000,1,1,35.46697485249839,0.300874263048172,18.466907501220703,learned,learned support (DCRF),patchnetvlad,1234,48
loc_011,loc_011,1,0.6739962100982666,0d5c8785-fe79-4356-bca4-9b3d8108e6d6,0.4603484570980072,0.2136477530002594,loc_011,1,1,35.21687720195647,0.3146519064903259,19.56116485595703,learned,learned support (DCRF),patchnetvlad,1234,48
loc_000,loc_000,1,0.8124508857727051,loc_004,0.7925236821174622,0.01992720365524292,loc_000,1,1,35.48719045670104,0.29465073347091675,18.380704879760742,uniform,uniform same-energy,patchnetvlad,1234,48
loc_001,loc_001,1,0.696645975112915,loc_006,0.6638690233230591,0.03277695178985596,loc_001,1,1,32.808307517364,0.5544595122337341,34.0604362487793,uniform,uniform same-energy,patchnetvlad,1234,48
loc_002,loc_002,1,0.7717283964157104,0c979954-46a8-404f-b3f6-3f10515f1b2e,0.7466629147529602,0.025065481662750244,loc_002,1,1,34.721511697721915,0.3550194203853607,21.924829483032227,uniform,uniform same-energy,patchnetvlad,1234,48
loc_003,loc_003,2,0.7725505232810974,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,0.7859165668487549,-0.01336604356765747,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,1,1,35.302846782925315,0.3075835108757019,19.177738189697266,uniform,uniform same-energy,patchnetvlad,1234,48
loc_004,loc_004,3,0.7543832659721375,loc_000,0.7767032384872437,-0.0223199725151062,loc_000,1,1,35.48279936849829,0.29512321949005127,18.399295806884766,uniform,uniform same-energy,patchnetvlad,1234,48
loc_005,loc_005,1,0.6569561958312988,036c6334-ffa8-48c4-98f6-1987b9fd8304,0.14168238639831543,0.5152738094329834,loc_005,1,1,34.74918195427715,0.34419119358062744,21.785280227661133,uniform,uniform same-energy,patchnetvlad,1234,48
loc_006,loc_006,2,0.6535666584968567,loc_001,0.6850680112838745,-0.03150135278701782,loc_001,1,1,32.927232937113715,0.538206160068512,33.14055633544922,uniform,uniform same-energy,patchnetvlad,1234,48
loc_007,loc_007,1,0.5819816589355469,011d9963-f1ed-4fa4-abe0-c2fd62bebef7,0.47590985894203186,0.10607179999351501,loc_007,1,1,33.773748788306534,0.43208685517311096,27.277729034423828,uniform,uniform same-energy,patchnetvlad,1234,48
loc_008,loc_008,2,0.5965408086776733,loc_010,0.5988360643386841,-0.002295255661010742,loc_010,1,1,35.69137808341284,0.27769917249679565,17.53653335571289,uniform,uniform same-energy,patchnetvlad,1234,48
loc_009,loc_009,1,0.6190016865730286,07c280db-259e-49a4-bfd8-a632e698ef20,0.2540546953678131,0.36494699120521545,loc_009,1,1,33.55975139915739,0.4529113471508026,28.6489315032959,uniform,uniform same-energy,patchnetvlad,1234,48
loc_010,loc_010,3,0.6745084524154663,loc_000,0.7046496272087097,-0.030141174793243408,loc_000,1,1,35.38294031001661,0.3008742332458496,18.827367782592773,uniform,uniform same-energy,patchnetvlad,1234,48
loc_011,loc_011,1,0.659062922000885,0d5c8785-fe79-4356-bca4-9b3d8108e6d6,0.4574703574180603,0.2015925645828247,loc_011,1,1,35.15205105707529,0.31465187668800354,19.85537338256836,uniform,uniform same-energy,patchnetvlad,1234,48
loc_000,loc_000,1,0.7899648547172546,loc_004,0.7742977142333984,0.0156671404838562,loc_000,1,1,35.70534314867727,0.29465070366859436,17.480213165283203,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_001,loc_001,1,0.6993124485015869,loc_006,0.6611762046813965,0.03813624382019043,loc_001,1,1,32.95298080736842,0.5544595718383789,32.94456100463867,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_002,loc_002,1,0.7765259742736816,0c979954-46a8-404f-b3f6-3f10515f1b2e,0.7361804246902466,0.04034554958343506,loc_002,1,1,34.993239877873506,0.3550194203853607,20.595129013061523,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_003,loc_003,2,0.7747533917427063,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,0.7910438776016235,-0.016290485858917236,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,1,1,35.582049332137856,0.3075835108757019,17.983572006225586,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_004,loc_004,3,0.7638695240020752,loc_000,0.779328465461731,-0.015458941459655762,loc_000,1,1,35.702263041206216,0.2951231896877289,17.492605209350586,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_005,loc_005,1,0.6498333215713501,036c6334-ffa8-48c4-98f6-1987b9fd8304,0.1511087715625763,0.4987245500087738,loc_005,1,1,34.8144666021899,0.34419116377830505,21.460203170776367,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_006,loc_006,2,0.6549997329711914,loc_001,0.6923014521598816,-0.037301719188690186,loc_001,1,1,33.07210819703965,0.5382061004638672,32.0531120300293,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_007,loc_007,1,0.5724590420722961,0391ac55-0271-46c1-bab3-098898b00482,0.4689139425754547,0.10354509949684143,loc_007,1,1,33.76969538792313,0.43208688497543335,27.302886962890625,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_008,loc_008,1,0.6393013000488281,loc_000,0.5885623693466187,0.05073893070220947,loc_008,1,1,35.9936112542252,0.27769917249679565,16.357759475708008,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_009,loc_009,1,0.6652500629425049,07c280db-259e-49a4-bfd8-a632e698ef20,0.23247946798801422,0.43277059495449066,loc_009,1,1,33.624541946762754,0.4529113173484802,28.224647521972656,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_010,loc_010,5,0.6307774782180786,loc_000,0.747676432132721,-0.11689895391464233,loc_000,1,1,35.64853250970753,0.300874263048172,17.71047592163086,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_011,loc_011,1,0.6300457119941711,0d5c8785-fe79-4356-bca4-9b3d8108e6d6,0.40736210346221924,0.2226836085319519,loc_011,1,1,35.35824328921192,0.31465187668800354,18.93479347229004,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_000,loc_000,2,0.6959914565086365,loc_004,0.7001441121101379,-0.004152655601501465,loc_004,1,1,35.42790170588051,0.29465073347091675,18.634490966796875,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_001,loc_001,1,0.5904313325881958,loc_006,0.562588095664978,0.027843236923217773,loc_001,1,1,32.92936323610354,0.5544595122337341,33.12464904785156,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_002,loc_002,1,0.6617230176925659,0c979954-46a8-404f-b3f6-3f10515f1b2e,0.6484860181808472,0.01323699951171875,loc_002,1,1,34.67786541752727,0.35501939058303833,22.146324157714844,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_003,loc_003,1,0.7360649108886719,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,0.7312614321708679,0.004803478717803955,loc_003,1,1,35.266925907284545,0.3075835406780243,19.33812713623047,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_004,loc_004,3,0.707046389579773,loc_000,0.7114689946174622,-0.004422605037689209,loc_000,1,1,35.426032415687544,0.2951231300830841,18.64235496520996,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_005,loc_005,1,0.4607296884059906,001dd454-253f-4356-bfdd-5f642af30c14,0.10102608054876328,0.3597036078572273,loc_005,1,1,34.76837592342515,0.34419113397598267,21.689611434936523,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_006,loc_006,2,0.5506839156150818,loc_001,0.5661672949790955,-0.015483379364013672,loc_001,1,1,33.057743125982796,0.538206160068512,32.159976959228516,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_007,loc_007,1,0.4278058707714081,0391ac55-0271-46c1-bab3-098898b00482,0.3834724426269531,0.044333428144454956,loc_007,1,1,33.76546625791908,0.4320868253707886,27.328174591064453,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_008,loc_008,3,0.5735633373260498,loc_004,0.5822446346282959,-0.008681297302246094,loc_004,1,1,35.73106046206486,0.27769914269447327,17.377182006835938,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_009,loc_009,1,0.6249608397483826,07c280db-259e-49a4-bfd8-a632e698ef20,0.22227898240089417,0.4026818573474884,loc_009,1,1,33.60340693503282,0.4529113471508026,28.36349868774414,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_010,loc_010,5,0.594455361366272,loc_000,0.7001611590385437,-0.10570579767227173,loc_000,1,1,35.39292049010422,0.300874263048172,18.785205841064453,edge,gradient-magnitude (edge),patchnetvlad,1234,48
